Customer_ID,Name,Street,City,State,Zipcode,Email,Phone,Order_History
1,Justin Vasquez,6751 Henry Hollow,Fort Worth,SD,93035,rwright@example.net,+1 205-763-1533,17 orders
2,Chad Lee,3732 Allen Highway Suite 148,Philadelphia,TX,56707,prichards@example.com,+1 212-215-9723,10 orders
3,Kelly Smith,653 Katie Isle Suite 427,San Jose,FL,37075,mstewart@example.org,+1 648-656-3151,17 orders
4,Kristine Miller,786 Ponce Crossing Suite 351,Fort Worth,NE,97589,hannahcox@example.net,+1 448-601-5721,20 orders
5,Nicole Fleming,104 Ronald Green,Charlotte,OH,50733,rodney75@example.net,+1 729-603-9511,3 orders
6,Nicholas Powell,8829 Sutton Mission Apt. 951,Philadelphia,VI,61386,wendy03@example.com,+1 317-793-8040,6 orders
7,Melissa Thomas,25586 Taylor Track,Philadelphia,LA,49760,john07@example.com,+1 695-628-5749,11 orders
8,Anthony Smith,78209 Santos Forks,Los Angeles,FL,46753,merrittvalerie@example.net,+1 474-809-8761,6 orders
9,Alex Davidson,886 Alicia Green,Fort Worth,NJ,88963,martinezlisa@example.com,+1 308-352-4476,18 orders
10,Stacey Jones,09943 Willis Squares Apt. 398,New York,IA,06628,daviscasey@example.net,+1 337-703-9250,19 orders
11,Cheyenne Adams,914 Fleming Ports Apt. 295,San Jose,CA,18760,rodriguezrichard@example.org,+1 571-318-3431,8 orders
12,George Franklin,81069 Martin Harbor,Austin,ND,09556,thomaschristian@example.net,+1 222-925-1628,1 orders
13,Jessica Cox,14394 Christopher Burg Suite 690,San Diego,NJ,81060,johnjackson@example.com,+1 513-523-3767,15 orders
14,Ashley Santiago,33307 Harris Inlet Apt. 191,Houston,CO,04695,krystal41@example.com,+1 764-826-7711,20 orders
15,Nicholas Arnold,8156 Leon Motorway,Fort Worth,NV,18888,pricechristina@example.net,+1 774-461-1242,11 orders
16,Julie Lee,854 Greg Trail,San Antonio,CO,38031,rwashington@example.net,+1 209-552-4263,8 orders
17,Devin Vega,3699 Terry Neck Apt. 215,Dallas,NM,08499,tblair@example.net,+1 673-478-5381,6 orders
18,Andrea Smith,8473 Marisa Prairie Suite 681,Los Angeles,GA,01778,vshelton@example.net,+1 353-509-4671,1 orders
19,Robert Rosario,612 Klein Prairie Apt. 914,San Diego,VI,73044,carterjason@example.org,+1 742-314-9006,5 orders
20,Steven Smith,37395 Wood Rest,San Antonio,MA,50689,jamesday@example.org,+1 692-374-2971,2 orders
21,Erin Ramirez,716 Miller Cape,San Jose,RI,62501,mcphersonsteven@example.org,+1 543-639-3264,18 orders
22,Dr. Phillip Estrada,46977 Rebecca Burgs Apt. 882,Chicago,OH,42086,eileen88@example.org,+1 265-716-7442,10 orders
23,Sara Garrison,8739 Curtis Vista,San Antonio,MN,06887,hsanchez@example.org,+1 311-779-7540,20 orders
24,Mitchell Taylor,7065 Carter Green,Los Angeles,TX,38994,amandamcintyre@example.org,+1 591-288-9439,2 orders
25,Phillip Stevens,759 Gina Streets,Columbus,NE,21718,fevans@example.net,+1 643-835-1324,10 orders
26,Erika Anderson,02684 Simmons Forges,Columbus,VA,45684,gateskimberly@example.com,+1 755-687-2723,14 orders
