Customer_ID,Name,Street,City,State,Zipcode,Email,Phone,Order_History
1,Teresa Cannon,733 Bennett Vista,Philadelphia,MI,04013,bakerisaac@example.net,+1 908-813-1633,6 orders
2,Scott Perez,66793 Nicole Radial,San Diego,IL,63211,matthewbarnett@example.org,+1 711-678-4332,12 orders
3,Tiffany Ross,076 Cory Place,Jacksonville,ID,66171,mdavis@example.com,+1 429-796-8383,17 orders
4,Christina Mills,5634 Justin Falls Apt. 392,Dallas,MT,66977,douglas09@example.com,+1 782-702-3944,12 orders
5,Willie Harris,881 Campbell Streets Apt. 354,San Diego,TN,65296,williamsonbarry@example.com,+1 693-603-1115,15 orders
6,Mr. Billy Lewis,84600 Sarah Burgs Suite 499,Austin,DC,89373,brivera@example.org,+1 499-556-7928,9 orders
7,Amanda Morton,75103 Franco Village Suite 328,Austin,PW,83356,grossjoy@example.org,+1 417-803-6223,15 orders
8,Ronald Hill,156 Daniel Glens Suite 438,San Jose,KS,24136,janet01@example.org,+1 278-949-7357,18 orders
9,Mr. Brian Miller,1592 Mary Center,Houston,WV,24320,harrellvirginia@example.org,+1 554-689-4769,17 orders
10,Jack Tyler,4999 Garcia Square Apt. 584,Los Angeles,ME,09957,jeffery78@example.com,+1 600-851-7787,13 orders
11,Matthew Thomas,9091 Scott Mount,Fort Worth,OK,77440,garydiaz@example.com,+1 907-622-9771,6 orders
12,Morgan Goodwin,399 Smith Rapid Apt. 498,Dallas,RI,42383,josephmayer@example.org,+1 438-273-7734,11 orders
13,Jason Moore,242 Christina View,San Diego,AR,71724,ryan08@example.org,+1 538-910-8969,16 orders
14,Andrew Matthews,06833 Nicholas Station,Fort Worth,UT,44633,rjordan@example.net,+1 960-916-7080,8 orders
15,Jason Griffith,268 Carrie Forks Apt. 837,Phoenix,MP,05016,mccormickrachel@example.com,+1 463-640-6377,14 orders
16,Greg Medina,784 Fox Glens Apt. 675,Charlotte,RI,40609,drose@example.org,+1 723-850-6029,3 orders
17,Cynthia Mckinney,896 Pierce Trace,San Diego,IL,20353,smithchristian@example.net,+1 824-639-3600,11 orders
18,Stephen Parrish,6926 Christopher Burgs Apt. 618,Columbus,MO,87731,markmann@example.org,+1 741-371-6739,2 orders
19,Kyle Jackson,30253 Sampson Spurs Suite 798,San Diego,AZ,67840,hernandezjasmin@example.net,+1 658-741-5632,10 orders
20,Megan Raymond,0811 Eduardo Corners Apt. 413,New York,MO,15685,kaufmancatherine@example.net,+1 490-444-2632,17 orders
21,John Berry,837 Tracy Estate Apt. 845,San Jose,IA,75390,abigail35@example.net,+1 225-558-7244,12 orders
22,Brittany Thomas,52541 Berry Place Apt. 557,Phoenix,MH,80536,vlang@example.com,+1 777-579-1666,10 orders
23,Derek Rodriguez,30318 Anderson Ford,Columbus,FM,95415,barnesdennis@example.org,+1 478-658-5026,3 orders
24,Lucas Guzman,250 Isaiah Roads,San Diego,GA,89003,ellistamara@example.net,+1 967-858-3073,11 orders
25,Caitlin White,66664 Dennis Streets,San Antonio,KY,99818,joseph51@example.org,+1 738-467-1962,9 orders
26,Douglas Sanchez,728 Wallace Spur,Columbus,MT,21170,willisbethany@example.net,+1 345-827-6162,17 orders
27,Mitchell Holmes,227 David Square,San Antonio,OK,14220,ywallace@example.org,+1 570-366-8748,6 orders
28,Donna Shields,283 Petty Vista Suite 982,Jacksonville,CT,43594,eevans@example.net,+1 768-773-7358,15 orders
29,Harold Raymond,293 Thomas Ramp Apt. 862,Jacksonville,HI,43716,katherineoconnor@example.org,+1 989-590-3218,10 orders
30,Douglas Williams,580 Brown Flats,Los Angeles,DE,87122,ptorres@example.com,+1 307-453-7316,10 orders
31,Willie Richardson,61716 Dakota Rapid Suite 951,San Diego,HI,90691,erika15@example.net,+1 550-234-3656,3 orders
32,Elizabeth Barajas,624 Amanda Ways,Austin,ID,48874,erikadavid@example.net,+1 884-865-2790,14 orders
33,Tonya Erickson DDS,0922 Edward Expressway Suite 316,Phoenix,NV,81393,mark25@example.net,+1 220-432-6632,20 orders
34,Mr. Mitchell Martinez Jr.,7743 Jeffrey Motorway Suite 140,Phoenix,AZ,64764,laurenscott@example.net,+1 273-402-4966,12 orders
35,Michael Floyd,2072 Catherine Drive Suite 853,Fort Worth,AL,95756,nicholslaurie@example.org,+1 745-983-6310,1 orders
36,Samuel Mendoza,14221 Stout Pike Suite 590,San Jose,TX,81999,burketimothy@example.org,+1 228-264-9261,13 orders
37,William Roberts,645 Ochoa Way,Charlotte,WV,98712,patelleslie@example.org,+1 979-752-4585,16 orders
38,Mario Johnson,98233 Regina Spur Apt. 636,San Antonio,SC,98547,meredithlopez@example.net,+1 261-959-2120,10 orders
39,Teresa Melendez,5033 Lynch Estates Suite 079,Columbus,ME,87525,baldwincody@example.com,+1 642-781-5180,12 orders
40,Tabitha Cooper,1178 Wallace Cliffs Apt. 758,Columbus,CA,31995,zwong@example.net,+1 774-855-9572,17 orders
41,Sharon Hayes,12116 Lyons Tunnel Apt. 508,Los Angeles,ID,54182,brandy52@example.org,+1 326-928-7436,2 orders
42,Sandy Perry,848 Adam Corners,Dallas,FL,01007,garciawhitney@example.com,+1 258-689-6982,11 orders
43,Scott Martinez,4589 Christina Flats,Jacksonville,NJ,71212,thomaslauren@example.net,+1 779-732-7083,15 orders
44,Loretta Gomez,18721 Anthony Camp,Fort Worth,IL,91632,freemandaniel@example.org,+1 639-895-8691,11 orders
45,Leon Joyce,1341 Angela Plains Apt. 841,Phoenix,NH,01446,vcummings@example.org,+1 507-216-4437,2 orders
46,Douglas Moore,50810 Wilson Trace Suite 098,Phoenix,MT,33190,joseph75@example.com,+1 460-433-7664,2 orders
47,William Silva,5692 Mary Corner Suite 583,Columbus,LA,72656,hmitchell@example.net,+1 209-999-2085,16 orders
48,Kathleen Hill,291 Susan Orchard Suite 740,Los Angeles,DE,24244,jesse45@example.com,+1 989-709-3858,15 orders
49,Donna Greer,027 Miller Walk Apt. 284,Chicago,NE,39677,rose39@example.net,+1 268-676-7360,18 orders
50,Michael Johnson,2125 Carly Ridge Apt. 425,Jacksonville,OK,66484,jenkinsdaniel@example.org,+1 333-399-2745,5 orders
