Customer_ID;Name;Street;City;State;Zipcode;Email;Phone;Order_History;
1;Jeffrey Smith;1598 Robert Path Apt. 383;Dallas;MD;12885;fosteramber@example.net;+1 775-334-4725;14 orders;
2;Katherine Taylor;630 Fowler Crossing Apt. 288;Jacksonville;DC;71443;aarongraves@example.net;+1 400-463-9180;7 orders;
3;Grace White;72917 Hailey Manors;Houston;VI;50133;douglasmorgan@example.org;+1 724-659-2772;19 orders;
4;Gina Vaughan;556 Erika Manor;San Diego;AK;56135;mark08@example.net;+1 426-332-3955;12 orders;
5;Ashley King;97639 Baldwin Islands Suite 742;Columbus;ND;66618;hallshelly@example.org;+1 531-479-5237;20 orders;
6;Charles Gray;75605 Brandon Valley Suite 166;Houston;CT;34562;davismaria@example.org;+1 638-873-2134;13 orders;
7;Tina Cruz;973 Bauer Mews Suite 186;San Diego;MT;52271;michael64@example.org;+1 379-298-4232;13 orders;
8;William Gomez;7691 Martin Brooks Suite 982;Charlotte;PW;86427;elizabeth21@example.org;+1 478-359-1551;7 orders;
9;Steven Williams;52861 Kelly Plaza Suite 168;Charlotte;PR;19561;jjordan@example.org;+1 540-359-6854;8 orders;
10;Matthew Pham;9335 Ochoa Harbor;San Jose;MH;59571;padillatroy@example.net;+1 739-466-9586;20 orders;
11;Denise Barnett;1456 Gomez Parkway;Charlotte;IA;13262;rdavis@example.com;+1 386-302-9978;13 orders;
12;Michael Phillips;9863 Leblanc Course Apt. 695;San Antonio;VI;66539;goodmanmichelle@example.org;+1 884-694-8052;16 orders;
13;Annette Avila;8200 Rodriguez Valley Apt. 101;Chicago;KY;18799;jeffrey40@example.net;+1 943-722-6910;10 orders;
14;Lisa Knight;273 Welch Mission Suite 562;San Jose;AL;45682;lbennett@example.org;+1 200-511-2857;3 orders;
15;Yvonne Perry;235 Madison Cliff;Jacksonville;SD;67078;tmiller@example.org;+1 205-340-4435;9 orders;
16;Karen Brown;070 Webb Well Suite 139;Houston;MN;58202;hendersonjennifer@example.com;+1 392-690-9050;2 orders;
17;Rebecca Jefferson;443 Mcfarland Lights;Chicago;WV;86198;qpeterson@example.net;+1 825-310-4819;11 orders;
18;Emily Miller;436 Daniel Streets;Jacksonville;MS;62360;carloshall@example.com;+1 964-420-8698;6 orders;
19;Peter Rodgers;66604 Maria Plain;Columbus;CO;23251;christian83@example.net;+1 699-865-4901;10 orders;
20;Cameron Long;9778 Dawn Shores;Los Angeles;MD;9104;christine16@example.org;+1 869-965-1893;13 orders;
21;Heather Munoz;31391 Taylor Viaduct Apt. 768;San Antonio;AL;47946;howardvincent@example.com;+1 894-666-1041;8 orders;
22;Valerie Byrd;09029 Louis Court;Chicago;WY;30737;michaelrush@example.net;+1 313-611-3253;15 orders;
23;Dawn Jones;98139 Heather Underpass;San Jose;MO;54971;timothy94@example.org;+1 908-542-8237;19 orders;
24;Kaitlyn Wiley;512 Erin Isle Suite 724;Austin;AL;87928;brianna04@example.com;+1 432-398-2521;4 orders;
25;Mr. Bradley Brooks;853 Jeffrey Courts Apt. 561;Philadelphia;NV;10466;tclements@example.org;+1 687-505-7027;19 orders;
26;Janet Lewis;1294 Adam Knolls;Phoenix;FM;38491;jchristian@example.net;+1 816-657-8445;11 orders;
27;Laura Smith;7933 Lambert Skyway Apt. 500;New York;WV;40318;katie59@example.org;+1 276-229-4502;18 orders;
28;Tracy Jones;85587 Carlos Dale;Austin;AL;82356;patrickmurray@example.net;+1 256-793-7784;1 orders;
29;Brenda Keller;74550 James Ports;Columbus;MA;65141;nathanlopez@example.org;+1 425-936-4662;8 orders;
30;Sylvia Newton;24099 Christopher Ford Suite 788;San Diego;IA;4175;erikapollard@example.net;+1 504-873-4045;6 orders;
31;Michael Richards;925 Jocelyn Turnpike Apt. 048;Charlotte;NV;94587;fyates@example.com;+1 384-799-3323;17 orders;
32;Luke Vang;2082 Randolph Flat Apt. 997;San Antonio;MN;8951;williamsjason@example.org;+1 613-910-9990;7 orders;
33;Susan Santos;67447 Anderson Club Suite 514;Jacksonville;OH;99880;patrick32@example.org;+1 730-756-8532;19 orders;
34;James Sweeney;783 Tracy Prairie;Jacksonville;MI;52479;roberttucker@example.net;+1 885-275-9420;2 orders;
